DefectivePlayer, RandomCooperator
D, D
D, D
D, C
D, C
D, D
D, C
D, C
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, C
D, C
D, D
D, D
D, D
D, C
D, D
D, D
D, C
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, C
D, C
D, D
D, C
D, C
D, C
D, C
D, C
D, C
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, C
D, D
D, C
D, C
D, D
D, D
D, D
D, C
D, C
D, D
D, D
D, D
D, D
D, C
D, C
D, D
D, D
D, C
D, D
D, D
D, D
D, C
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, C
D, C
D, D
D, D
D, D
D, D
D, D
D, C
D, C
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, D
D, C
D, D
D, D
D, C
D, D
D, C
D, C
D, C
D, D
D, D
D, C
D, D
D, C
D, D
D, D
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
D, D
D, C
D, D
D, D
D, D
D, D
D, D
D, C
D, C
D, D
D, D
D, D
D, D
