CooperativePlayer, DefectivePlayer
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
C, D
